3D small cj84ru87u.3bp6dj94cj84a86？	3D small 畫家有人會畫嗎？
cl3j06vu,4 small rul4cjo6u4	好玩欸 small 學回憶
close m zj4yj/ wj/3	close 於副總統
gji  good 1j4t6rul4y3	說 good 不提學姊
ji3u6m/4PC MAN ao3y 2j gj32u6 good vup cj4	我也用PC MAN 每次都數的 good 辛苦
jo6ck4 pay high 2u6s06g/ 94rm bj3xl3g ?	為何 pay high 的男生愛娶女老師?
cj06 good vu04y94y94vu; vup4up xji4 cp3dji4ru/4hji ek g.32u t;4qu04ej/ h6	還 good 現在在相信音樂 很會經營歌手的唱片公司
294xj4vmp6ru wu6rm3ej;4m062k7 new ru,6aj4a83	大陸尋奇是莒光園地 new 節目嗎
5/4au04？tj6xk7y4ji3fu qu04ep 1p4n4j94，5k4g4ru,4u.3g84 good 5/4au042k7？	正面？除了自我欺騙跟笨以外，這世界有啥 good 正面的？
fu6g6su3dj94d04ej/ ru032u4cj84 j;3e.4ao6u.4 cheap 2l4s87fm 	其實你會喊工錢的話 網購沒有 cheap 到哪去
bp6vu04bp694?? d04sji4n3wj zo65 dji4vu;3wj3 good a86	人見人愛?? 看那死禿肥只會想吐 good 嗎
y41u418 ，c96u.4s86vu84x96cj06ej84y94g.3g;31j45 2l4g4n0  small	自卑吧，還有拿下來還掛在手上不知道是三 small
j03g;4fu w941l3 d04xul3 photo jo32ji4z04jo4	晚上吃太飽 看了 photo 有點反胃
5p 2u u.3su06ru3h96dji494g;3 vul3g6c.453rul42u6w9 j0 eji6m3 good tj/6	真的有年紀才會愛上 小時候只覺的台灣國語 good 重
ejo ~ su3u,3g4g045;3fu  breakfast 2u q/6u.3sk7~	哇~ 你也是擅長吃 breakfast 的朋友呢~
ru87xu3tj vu04 weird qup3tj/62k7e865j8 	家裡出現 weird 品種的嘎抓
jo4g6ak7 high rup4w962;42j3gp  el4vu u61o4y32;7vul32u4	為什麼 high 進能當賭神 高義一輩子當小弟
small g6c.4wul494 open wji62u41i xu6qu/6 fu0 t/6ej/ jo3dj94e03	small 時候超愛 open 它的玻璃瓶 開成功有快感
win10 wul4xm6 large a94cjo4zj dji4u.3gp6ak7up a.6u8 ?	win10 跳樓 large 賣會不會有什麼陰謀呀?
1p3x96ru.41j4m/4ru032u  c96m/4ru03fm4 buy wu6gp6ak7vup w94?	本來就不用錢的 還用錢去 buy 是什麼心態?
jo3ao6u.4 high 56rul42u62j/ vu 5p 2u4a06g6m/42u 18 ej84?	有沒有 high 職教的東西真的蠻實用的八卦?
rup su062j/ wu0 zj e.4 cold ,el xu6h942; b061j4cl3fu ,nji3u3y9 dj9454vul 	今年冬天不夠 cold ,高麗菜當然不好吃,所以才會滯銷
u.3ao6u.3cj96su04fu3eji6 small 2u6dk45ji u32u6186ej84	有沒有懷念起國 small 的課桌椅的八卦
vu;4aup6su/4vup u.4 low j 100j042u4a87？	鄉民年薪有 low 於100萬的嗎？
xu;31j42. u.4u4ek3 pretty sm3xup4rm ...5o41j4cj06ru3w8 1832l4，tk3	兩部都有一個 pretty 女鄰居...這部還給他把到，扯
vu04y94u6njp 100u3g;4y9 fu 2k71l3 normal a86？	現在一餐100以上才吃得飽 normal 嗎？
vm06 good q8  u6yjo xl3bp62j yji4eji7sul4gji4z83	還 good 吧 一堆老人都做過尿療法
g/ zj4rul4g.4dk3qu3rmp 5j/ g/ vul4ru6rmp ej0  g/ 5/4 professor ep 59 vu/ u4u;4	升副教授可比軍中升校級軍官 升正 professor 跟摘星一樣
GGwu6 long wjo3Es93x84aj6	GG是 long 腿E奶辣模
small cj;6h6ru vu04y94y94vu;3g6ak7?	small 黃司機現在在想什麼?
small cj;6h6ru ao3wu0 2. y94vu;3bj6ck6yj04ru03，fu6w8 ao6g6ru03vu;3…	small 黃司機每天都在想如何賺錢，其他沒時間想…
vm06 good su3g4eji su/4ru03cj04 eji4su/4c.4 xjp6w9 2. ul45. 5;4xul3	還 good 你是過年前換 過年後 輪胎都要調漲了
.... n4ru031u4rul 2l42j z.3dji4g 1u04ru.4u3ru/41j4ck6xu3xk7 good a83	.... 以前被咬到都不會屍變就已經不合理了 good 嗎
au04tj3vul3xup6nj04cl3t 2u6 pull au04a83	麵處小林算好吃的 pull 麵嗎
1u32j4Ramul35832ji  full h96ru6ck4?	肥宅Ram要插多 full 才及格?
zo6596wl3u4u fu,42845j/4 in 2k72j/ vu ，5 vu;35k7y4ru32u4y9 wu65/42l4	肥宅討厭一切大眾 in 的東西，只想著自己的才是正道
u.4ao6jo3qj3ao4 y94u6j0 y4g4gp6 high 2u 18 ej84？？！	有沒有普妹 在台灣自視甚 high 的八卦？？！
(づ′・ω・）づ c96 good su, 	(づ′・ω・）づ 還 good 捏
fu/6jp4ejo3ap6 open ep vu04y94jo3gp6ak7fu. 1u,6	請問鬼門 open 跟現在有什麼區別
ejo3ejo3ap6 open 1u3rm,6z.3u.6	鬼鬼門 open 比較不油
cj04u6zj686， old 2u ru3rul 10 2u bp6h 2;7vul u,4	換一包啊， old 的給交班的人ㄘ當宵夜
2u4u6h4rm,62o3yjo41j4vu;35;3 large g4g6ak7g6c.4	第一次覺得最不想長 large 是什麼時候
c96u.3bp6 care x942u04286xu/6a86	還有人 care 來電答鈴嗎
5/ ru,6jo3ao6u.410  good ru,7	正杰有沒有搬 good 家
fu;32u42u4z; y94m 2841j4zp42.  long 2k71j4vu;4	強的地方在於大部份都 long 得不像
ji3q/6u.3eji65j/ 1u4u,4s/6n4，vm/6yji4gp6ak7 job su ？	我朋友國中畢業而已，能做什麼 job 呢？
jo3j03ej/4vu;3ru/ ru4qu/6w96（ skill 1j4zp4）	有關共享經濟平台（ skill 部分）
ao6bp6vm03cj65l4vu c.3，u03ru/  long s93fm4xul4	沒人選胡桃西吼，眼睛 long 哪去了
5j3ej0 wu65p 54 idea dk4ej0 g41u,6bp6d042l42945j/4wj/ g6vu;3z83	主觀是真實 idea 客觀是別人看到大眾通識想法
au4c;6 sji62l4u4yji4 weird 2u 2l3 u.4cj86ful  u.3ej94g.4 yjo4c.4x04jo3	迷航 掉到一座 weird 的島 有學校 有怪獸 最後爛尾
b41p m/35j4fm06gp fu/3 - y94xu.4nj4 short jo6yjo42u 1su/4?!	日本永住權申請 - 在留縮 short 為最低1年?!
vu0 vu84y94cl3 zo g6n0 rul4m06 122ji4u  open ru.4u.3cp32ji sm3u.3xk7	先下載好 妃十三學園 12點一 open 就有很多女友了
dl4 ji3qu4ejo3t9 su, n3 good ru3y h965 2l4ul41o 2jo4w8 	靠 我被鬼差捏死 good 幾次才知道要背對他
w96j0 83 ao6jo35j3fm062k7eji6ru,7 ru.4g4bp6ru8 5/4542.45/42u4 tool	台灣阿 沒有主權的國家 就是人家政治鬥爭的 tool
5o4wu6ru.45/4vu062u/4xu3fu.6xu;31u0  long ，b06c.4vu;4ru03ru.4 good xk7	這題就正弦定理求兩邊 long ，然後相減就 good 了
k6xji n u.3 sell aup6m/42k7dk4ru4t03qup3a86?	俄羅斯有 sell 民用的科技產品嗎?
e9 2j6gp6ak7 good xul3?	該讀什麼 good 了?
s061j4bp6wu/ 2l41o4rm 5o4xu;4ek3y4jo4g865o4ak7 easy 1/ n 	南部人聽到北車這兩個字為啥這麼 easy 崩嘶
d9 vup sj/6g; 2; su062l42u3y94cj/6n0  small	開心農場當年到底在紅三 small
small g6c.4u,3rm,62k71u,6bp62u zj4aj3 qu6y4fu32u6zj4aj3 good 86	small 時候也覺得別人的父母 比自己的父母 good 啊
w96j0 bp62k7u4g456gj4jo32ji  high ?	台灣人的厭世指數有多 high ?
yjo3qj 2/3ru6w8  low c96gji bp6ru8 u.3e; ul4vu/4，cl3xj3...vu vu 	嘴砲等級太 low 還說人家有抗藥性，好魯...嘻嘻
open zo6tk4ru4cjp g/ cji62u zp3n 5j0 u,4	open 肥宅結婚生活的粉絲專頁
su3dji41u04t/6 large fu3u,4ru,7 g;4g4g;3ejo4	你會變成 large 企業家 上市上櫃
y9 q932u6eji62u416，c96 good 187	才排敵國第16，還 good 吧
bp6ru8 gji fm4sk6xu3 buy ru.4m/4xul4 2jo4g60 2u4aup3bjo42ji6rup4cj 0	人家說去哪裡 buy 就用了 對食安的敏銳度近乎0
jp61u3 good dk3u32u42l41l6	文筆 good 可以約到砲
ck4y7cj84s8 ak7 small fu6g41u3tk4	格子劃那麼 small 歧視肥宅
cut wu, g;32u u62j/4nj42j4s/6tl3cji6ej;4nj4？	cut 貼上的移動速度能超越光速？
wji6ru4g6vu;3rul45j/4tj ，u04 small g6c.4gj ao62.4 good ，vu,4t/65j/ 5/ 	他其實想叫中出，但 small 時候書沒讀 good ，寫成中正
wu6su35j042l4xk7 1j4m/42;7zp aj3 fu6w8  tool bp6vu04aj4n3xk7	是你賺到了 不用當分母 其他 tool 人羨慕死了
up jo4vu;4aup6w8 zo4xk7，2j3y7ao6u.4g6ak7ai4gjo3，sl3y7ao6 idea 。	因為鄉民太廢了，肚子沒有什麼墨水，腦子沒 idea 。
yp3ak71i tj dj/41962u4 push ？	怎麼發出空白的 push ？
1j4s/6gji ?s8 su3vu04y94gji 2k7wu6n0  small	不能說?那你現在說的是三 small
ek u,42u wu6qup3jo4 1j6g4d8 zo  sense yp3u.3wj6ru,72k7jp42u4	哥喝的是品味 不是咖啡 sense 怎有跌價的問題
u.4ao6u.4n0 5;4xu;3 short 2k718 ej84？	有沒有三長兩 short 的八卦？
vul3u,6ji32k6bj41137h4，g4z.3nj04wu6el42/3 player ？	小爺我登入1137次，是否算是高等 player ？
c96n4jo65o4xu3g4fu0 vup sj/6t;6 good sj/62u h94jo4	還以為這裡是開心農場 good 濃的菜味
2ji gl3fu06m03u4 sell xl3-4	多少錢願意 sell 老二
u.4ao6u.4Nagi pull au042u4186ej84?	有沒有Nagi pull 麵的八卦?
el3 small tj06wu q96ru3bp6u62u/4dj94ru,3n04rul cj 2k7!!!	搞 small 團體排擠人一定會解散交惡的!!!
wu/ gji g4 small dj4dj4s84ru6cp32l45j3aj4	聽說是 small 褲褲那集很受矚目
s84ru03294rul4cp3 high ??? zj4g;45j/4eji6b41p c06eji6gj3rm4	哪間大學很 high ??? 附上中國日本韓國數據
su;6y3， fast tj x96k ，wul4ru61u041u041u04vm06u.3bp6y94d0 ,4	娘子， fast 出來阿，超級變變變還有人在看欸
u04t;4dj94hji ejo42u4qul4g4gjo6y94 buy ?	演唱會最貴的票是誰在 buy ?
u.32k72j/ vu vm06a062ji  1l qu4u4 e0 au04 card sl31j4	有的東西還蠻多 包屁衣 乾麵 card 膠布
wu/ gji g  large s83d0 qu6zj 2u4 m,4bj4fu0 j04 1j45 5p 2k7vu862u6	聽說師 large 那看皮膚的 月入千萬 不知真的假的
1i6bp6ej/ n 2u cji4zp4tk4ul 2ji  large 84	百人公司的化糞池要多 large 啊
jo4gp6ak7dk3u3 accept large su/6s931j4s/6 accept 1o4rm 	為什麼可以 accept large 冰奶不能 accept 北車
up jo4 breakfast 2u04jo3xl3103su;6 1o3tk ao6jo3……a03u4a86？	因為 breakfast 店有老闆娘 北車沒有……滿意嗎？
ji3ru.4wu6 5p 2u41j6ul4ru,4ru0 xu35042u6rm qu6rul4 good	我就是 真的不要借監理站的車比較 good
2jo4ru, 2u4eji65j/4ao4ao4 good dk394	對街的國中妹妹 good 可愛
e04 fu0 au/62;4 good 1;4	幹 簽名檔 good 棒
su3ru4ai4ru4ai4ru.4 good	你寂寞寂寞就 good
5p 2u4，2; su3u6u03rul42k7cl3vu;4u.32u03fu;3204u.4cl3vu;4c96 good	真的，當你一眼覺得好像有點強但又好像還 good
sji6xu3 buy 2k72l40 u;6s93	哪裡 buy 的到陰陽奶
new eji6aup62u4u.4ru d.3jo4g4j62u62k7	new 國民的油雞口味是無敵的
ptt2ji xul4Tag5;4cl42k7 feature dj94yp3vu;4？	ptt多了Tag帳號的 feature 會怎樣？
su3jo4d.35p  good 2. z. wul62u 	你胃口真 good 都不挑的
su3vu0 jp4 fast 3ek3 small g6h96fm4zj4042u ru/3t86g4y94a;6gp6ak718 	你先問 fast 3個 small 時才去報案的警察是在忙甚麼吧
ej84n0  small s87g.356vu,6ru;3	掛三 small 哪首直接講
n.3al : good vu.4	藪貓: good 臭
rm g;4t;4ek g4g6ak7g6c.4d9 g3 in ？	車上唱歌是什麼時候開始 in ？
m/4yjo45p  cj04hji 5p  m/3fu3xul3 good 2ji u6jp4	用最真 換最真 湧起了 good 多疑問
vu04y94y9 2l4ru;4g6，1u,6xo6ji3a 	現在才到醬汁，別雷我 good ㄇ
ek62.42u04j06bj3 player	格鬥電玩女 player
fu/6jp4sji6xu3 buy 2k72l4dj94tl32u04s935j/4w9 qu61o y7?	請問哪裡 buy 的到快炒店那種台啤杯子?
j3rup c;6 up4xul45j/ q06qu 1i g;  2. a06 easy cj862l42u 	五金行 飲料中盤批發商 都蠻 easy 找到的
sm3bp65p  good 2jo 	女人真 good 追
m/4$2u4d04d04ru.4 good 1u,6ep w8 bp45p  1j6g45p vup 	用$的看看就 good 別跟他認真 不是真心
y4ru3vu;3vu;3u04xu;3wu0 w96j0 2jo45j/4eji6cji4kmt2u cl3e03cjo4 add a83	自己想想這兩天台灣對中國或kmt的好感會 add 嗎
au/4y4wu/ eji  w03ji3z.35 2l4 long gp6ak7u;4y7	名字聽過 但我不知道 long 什麼樣子
yl3g;4hk4nji3ul  large 194t;6a;6xul4	早上廁所要 large 排長龍了
g4ru3 large wj6zj6ru03g6au/6g4？	世紀 large 屠夫前十名是？
line1j4vul3vup tj06 photo ru31u,6bp6ul bj6ck6g0 	line不小心傳 photo 給別人要如何刪
jp4ej84ru.4jp4ej84z;4g6ak7ejo3 photo	問卦就問卦放什麼鬼 photo
rul4ao4gji ji3ap753g4 good q/6u.3??????????????????	學妹說我們只是 good 朋友??????????????????
28 u/ ji3 ji3ap4ul42;4u 1o4y72k7q/6u.3 good a83	答應我 我們要當一輩子的朋友 good 嗎
w96j0 u.3 sell a83b.42u4u;4y3....	台灣有 sell 馬肉的樣子....
xu06fu83c;6dj/ ，fu06104su/4ru.42u/4 good ，x94cjo6b41p3n0 ，n4fu0 	廉價航空，前半年就訂 good ，來回日本三，四千
ru,62u4wj6cl3cj6，ji3u03ru/3 good wj/4	截的圖好糊，我眼睛 good 痛
job ao6u.3t/6ru.4e03dji4wu6xu6wk45j3up a83？	job 沒有成就感會是離職主因嗎？
a8 a8 1; -6y7cj86 job	媽媽幫兒子找 job
open g6ak7rm h96s/61832l4dj/ ru,3?	open 什麼車才能把到空姐?
5j/42u031j6g4 open g6ak7tk  g45j4gp6ak7q;6ep hjp6vu,6	重點不是 open 什麼車 是住什麼房跟存摺
ji3ao6eji7fu 2u 5l4u;42u. ，5j/ ru;3ru xm,4 small 2u ek xu06	我沒過期的照樣丟，中獎機率 small 的可憐
wjo4j3ul3fm  job rul42o3cp3rup35;4 yp3ak71042u618 ej84？	退伍要去 job 覺得很緊張 怎麼辦的八卦？
d04gp6ak7dk4aj4q8  xu.6wu xu4vm,630zp u/4e9 1j4nj04 low	看什麼科目吧 流體力學30分應該不算 low
u6ek3zj4vu/4vu; qu6u ek3w961o3zj6cj06 large ???	一個復興鄉比一個台北市還 large ???
5o4u;4 tool bp6dj94vul g ，cp31j4z; 1u04	這樣 tool 人會消失，很不方便
fm 1j3vu610 rul4 hot xu.6xul4	去補習班教 hot 流了
1u4n4ru  good 2u dk3s/6u.4，1j6eji4bp6ao6n4ru 2ji y4b06z.3tj au/4	比台積 good 的可能有，不過人沒台積多自然不出名
small 2;7ej u/6s8 ak72ji t;3yp3ak7c96u.3bp6gji wji6dl4184a8 ?	small 當家贏那麼多場怎麼還有人說他靠爸媽?
large gl  sell dji4u/6wu6up jo6fu 2u4bp62. g4u;6fm06n83ru8 2k7bp6，ru,4g zj3ru.4	large 燒 sell 會贏是因為吃的人都是陽泉洒家的人，解師父就
su04su/4fu06gji u6c93dk3t/ u6vu/ fu  vu04y94s96t/ fu6 small g6?	廿年前說台海可撐一星期 現在能撐幾 small 時?
ao3eji6GDPcji6 high tj d.3yj/ tj/6m,4 low 2j ru ?!	美國GDP越 high 出口總重越 low 都機?!
gk4cjo4ej04t86ru,7 cjo4 buy gj04u,42u u06ru. gj ck6fm4wj/6wj/6ej03q;6wu/ 	社會觀察家 會 buy 專業的研究書和去洞洞館旁聽
87u yjo 2u42l4 good a86？2;7ji3w961o3fu06mp3284j;6cjp6ek62k7？	87一堆地道 good 嗎？當我台北潛盾大王混假的？
gji h94bjo4vm,3g4qj3ao42u bp61ul45ji6g41j6g4cp3 high ?	說蔡瑞雪是普妹的人標準是不是很 high ?
jo4g6ak7ep vul4cj8 2u032u03au/6s8 g6c.4 long 2k7j06fm061j4u vu;4	為什麼跟校花點點名那時候 long 得完全不一樣
u.4ao6u.45j ek xu;6u032k72u04u/32j wu6" large "fu0 w.72u 18 ej84	有沒有豬哥亮演的電影都是" large "開頭的八卦
su3fm4.35. 2u sj/6u,4284eji6 buy su.6s93y9 rul4 cheap	你去歐洲的農業大國 buy 牛奶才叫 cheap
cp32ji zo g.4vup ru, ru6y94 open	很多非受薪階級在 open
u6j0 5j fu06 push n0 186zj4bj3ru, g4ul4u04e94gp6ak7	台灣之前 push 三八婦女節是要掩蓋什麼
u042k7cp3ru0  ao6ep a;6z;6u6vu;4fm4vu; e;32u04u/3fm06 u.42u03 weird	演得很奸 沒跟龍方一樣去香港電影圈 有點 weird
gji xl6ej/ ao6qu ej/ ck62l4u04u,3g4cp3z.3zj4yk6bp4，ru.4gji xul4y42j/41j4 good	說勞工沒被公害到這也是很不負責任，就說了資動部 good
el vm/6eji61up cjo4mp4160-6u3 sji61u0 cjo4mp4190 cheap ？	高雄國賓會員160而已 那邊會員190 cheap ？
old a8 qu/6jp6cj84wj/3u vu;4103hji ao3	old 抹平文化統一樣板最美
ru8 u.4 w;6sul41u/42/35j4su3 u62l3nj4gji  good 1;4i4	加油 糖尿病等著你 姨島素說 good 棒哦
jp6fm vu,4ek3 small gji cj06ul4n32ul4h96u.3bp6ul4d04 u04t0356 ru8 u.4 good a86	文組寫個 small 說還要死掉才有人要看 這產值 加油 good 嘛
cjo4d03dp32u/4g4up jo42ul vu;4w8  ugly 2k7 close vu4	會砍肯定是因為雕像太 ugly 的 close 係
small e03al4gp 5j; 	small 感冒申裝
small e03al4u06ru. gk4	small 感冒研究社
t;4ek cp3cl4wu/ ，u04fu. wu0 1u,6x96vm06g4j3n d93 version 1u3vul4 good wu/ 	唱歌很好聽，但秋天別來還是伍思凱 version 比較 good 聽
yp3ak7zp 1u04 good ru83rm,6ru83	怎麼分辨 good 甲狂甲
rm,6ru83dj94gji 94h6wu6 small e03al4	狂甲會說愛滋是 small 感冒
g/ u062k7e9 fm3g6ak7au/4y4 good su6	姓炎的該取什麼名字 good 呢
wu65p 2u6k4 small g6c.42k72. 5k4vu;4	是真的啊 small 時候的都這樣
ao4y3284xu;4m/3bj4h.4bk4sl4，e83su3 good g 	妹子大量涌入凑熱鬧，嘎妳 good 濕
small g6c.42. y94d04	small 時候都在看
yl3ru.4gji  good g;4u ru,4ru4g4 5o4ru,4m/3g4	早就說 good 上一屆騎士 這屆勇士
vm06 good ji32j c061u,6bp62u6 u.4x83el w96s8 gjo35jp3	還 good 我都幹別人的 有拉高台南水準
xj3ao4 buy 2l4100m06dj94z. cjo4w94gk t3?	滷味 buy 到100元會不會太奢侈?
1o4wul6fm 5/4fm04c/6c.4u.4cjo6x94up6vu/4xk7 y4fu3fm d0  small gji cl3a84	被調去證券行後又回來銀行了 自己去看 small 說好嗎
5j/4eji6bp6qp4 normal ，w96j0 bp6wu45j/ eji6bp6hl vup ck ck 。。。	中國人噴 normal ，台灣人替中國人操心呵呵。。。
1u3286ek wul4j3x942k7.s06c96y7fu4？ short t/6u04u;4g6y94vu;4s06eji65j/4g/ 	比打歌跳舞來得.男孩子氣？ short 成這樣實在像男國中生
u6j0 ru/4ru3fu6ru g6jo3fm g. e.4cji4e.4 buy eji6j942u4t03a86	台灣經濟奇蹟時有去收購或購 buy 國外地產嗎
183vul3c96xj/4 fast dj dj94yp3vu;4?	把小孩弄 fast 哭會怎樣?
bp45p cjo6 buy a8 ru3gji4z;3y94tl4rm,6ap6d.3	認真回 buy 螞蟻藥放在巢穴門口
w961o3 job yjo42u vup g42ji gl3	台北 job 最低薪是多少
jo4g6ak7y4fu32l4hji45k62u g6c.4z.  easy dj 	為什麼自己受挫折的時候不 easy 哭
vm06 good yj/4x96zj dji4u.3bp6ep ji3gji 5o45j/3cj84 up jo4ji3ao6u.3q/6u.3	還 good 從來不會有人跟我說這種話 因為我沒有朋友
u.4ao6u.32j6rm xl3bp6e9 u;4gp6ak72j/4j4qu6rul4 good 2u418 ej84	有沒有獨居老人該養什麼動物比較 good 的八卦
small gji dk31j4dk3u32; 5/4rm486？	small 說可不可以當證據啊？
u.3bp6u045/4 small gji s931o4u045/42u6g4 small gji 1j6g4 small gji 5/4au/6xul3g6ak7	有人驗證 small 說那被驗證的是 small 說不是 small 說證明了什麼
cj/4rm4 large g6294 b4rm42j/ ru/ 94fu/6 5j/4rm45p fm/6 w96rm4?	港劇 large 時代 日劇東京愛情 中劇甄嬛 台劇?
good ek 942u aul aul 	good 可愛的喵喵
e04zo u/3gk4u4gk4ru.4ul4gjo4 good ru wu0 ，z.3wu w8 wu gjo6	幹飛影射一射就要睡 good 幾天，不踢他踢誰
wji6ap42u042j/42j41j6g4 long 2u 2. u6vu;4wu6ul wu gjo6？	他們電動宅不是 long 的都一樣是要踢誰？
cj06dk3u3，t;6t;6 discount ， cheap	還可以，常常 discount ， cheap
1u/4au/41j3vu6vm06dl31j6g;4 good vm,6rul32u bp6sl32942. 5j; g84	拼命補習還考不上 good 學校的人腦袋都裝啥
ep z06u03c.4294u6ao6g6ak7 close vu4 z. ru, cjp u,3w96z06u03c.4294k4	跟繁衍後代也沒什麼 close 係 不結婚也能繁衍後代啊
2l4g6c.4su,45o42j04 video ru6su3dj/3vu84ru.4cl3vul4xk7	到時候哪這段 video 吉你恐嚇就好笑了
good x96j3284qu04g; yp3ao6tj x96ru6ej387aj4？	good 萊塢大片商怎沒出來吉谷阿莫？
2l41u,62u vu04g48 u6wu/ 2l4ji3z.3dj94fu6ru tk  2/4 large u03ru/ 	到別的縣市阿姨聽到我不會騎機車 瞪 large 眼睛
t eji  small fu6g4586ru 2u4bp6g41j6g4u.3su06ru3xul3	吃過 small 騎士炸雞的人是不是有年紀了
2.3n0  small ，xu03gk4fu. ru/3jo42. g4w8 2u bp6	抖三 small ，連社區警衛都是他的人
jo6gp6ak7s93aj41031j42042j6ep rm3103ck6yji4tj qu0 ru.4 good	為什麼乃木坂不單獨跟欅坂合作出片就 good
u.4ao6u.4g.3u.62l3rm4n41u42; c06m06 sell 2u6ej84	有沒有手遊道具台幣當韓元 sell 的卦
jo3ao6jo393aj4103462u6 small cji4a832j41u0 みり942k7ej84？	有沒有乃木坂46的 small 隻馬渡辺みり愛的卦？
5p 2u g42u4u h6d0 2l4a04cj842u04 sell au3	真的是第一次看到漫畫店 sell 米
ej;4w96j0 5j; b41p 5k42ji4ji3ru.4z. dji4 buy xk7	光台灣裝日本這點我就不會 buy 了
so4vu041j62l4jp3nj4 ru03au04vm06u 1u04 empty t3xu4ul 2ji  high ？	內線不到限速 前面還一遍 empty 恥力要多 high ？
s06g/ zp4g6ak7vu; gjo3 good	男生噴什麼香水 good
vu;4ej0  job 2k7 53u.310 g;4bp6gj42u41/31j62l4 u4yjo 5j93vu/4	相關 job 的 只有班上人數的1/3不到 一堆轉行
u.3ao6u.4fm06vup vu ck6 idol s06y3wj06wu -TITAN2u6186ej84	有沒有全新嘻哈 idol 男子團體-TITAN的八卦
vu04y94g4a832;4ai6gj;  u042cji42. 283z.3u/6ji3 large a832;4	現在是馬場無雙 這2隻都打不贏我 large 馬場
u6j0 vup y gjo35ji6 low ru.4wu6u4yjo x87ru 5j/4vul3fu3u,4	台灣薪資水準 low 就是一堆垃圾中小企業
b06c.4d9 2k7bp6u.4 good yj04(?) ru.4ru3ru.4bp68486848 	然後開的人又 good 賺(?) 救己救人啊啊啊啊
vm/65j/  push rm04g;32j/ j6nj04wu6xj3gk6a87？	雄中 push 甄上東吳算是魯蛇嗎？
n0 1l32ji 2u 2u  close vu4g4up jo6ru tk a87？	三寶多的的 close 係是因為機車嗎？
jo6ck4h8 jo6ru045k4ak7 slow ?	為何拆違建這麼 slow ?
rul4rul42u04wul4gj; 2u4 good a84 zp6gj3njo61u0 283el4u450 ru.4 good xul4	教學店超爽的 good 嗎 分數隨便打高一點就 good 了
ao3wk4w0 1j3、b4wk4 pull au04s83ek4z. ru04d;4？	美式漢堡、日式 pull 麵哪個不健康？
w0 1j3ru;4gl4ru8 u650 ，ru 54cj06 good	漢堡醬少加一點，其實還 good
ul41j4ul328 ek4j;4j;4vu0 1o42;72ji4vm03 y94 buy ek3cj;3ej04fu06	要不要搭個旺旺仙貝當點選 再 buy 個芒果乾
yj3584qu04ru6tj06 y94gl61i6zp3ej/ g. g45jo4 ji32. 5jp31o4 good xul3	組詐騙集團 在招募粉紅收屍隊 我都準備 good 了
wu/ 2. ao6wu/ cji4 cj86ek35 au/6596 high 2u  good a83	聽都沒聽過 找個知名度 high 的 good 嗎
wul4cl3vul4 d.3d.3g/ g/ gji ao6hji xu4 ru4xji3y4fu3 open sj/62;4jp6	超好笑 口口聲聲說沒營利 結果自己 open 農場文
FB484 bad sji6	FB484 bad 掉
vu;4 large xl3q03vm,6vu6？？	向 large 老闆學習？？
cjo4e935j;  large cji4rm tl4284g/ x8 18  u04xji418 18 187	會改裝 large 貨車超大聲喇叭 沿路叭叭叭
2u4u y ru03nji yji4xul4n0 ek42ji  small g6.....rup4fm 1j62l41zp45j/ 	第一次前戲做了三個多 small 時.....進去不到1分鐘
rul42k6284ru8 2. y94gji y4fu3 bad cj84g4ru/4gp6zp xu,4a84?	覺得大家都在說自己 bad 話是精神分裂嗎?
fm d04ru/4gp dk 18 ，u3g/  open 2u4ul4cjo42jo4cj04wu/ u.41; tj6。	去看精神科吧，醫生 open 的藥會對幻聽有幫助。
e0  ji3d0 xk7n0  small	幹 我看了三 small
w96j0 2u04u/3ru,4jo6gp6ak7fm, gl3 large ru8 u03mp4？	臺灣電影界為什麼缺少 large 咖演員？
u/6aj4w8 x04xk7 ao6u.4 support 120Hzy9 dji45k4u;4	螢幕太爛了 沒有 support 120Hz才會這樣
50su/4so4dk3s/6dj942u, 2l4cp3 low 2l4g6c.4y94 buy	50年內可能會跌到很 low 到時候再 buy
z03vul4u.6vu4ep xu4g3 background s93ek4qu3vul4dk3q84	返校遊戲跟歷史 background 哪個比較可怕
「ji31j6g4 2u aj3g4gj94ek 」t6aj3verayjo3 good wu06	「我不是 提姆是帥哥」提姆vera嘴 good 甜
c96 good g4jp4eji w96au/61j6g4jp4ej035;4	還 good 是問郭台銘不是問館長
g.3fu;3，286u 283，283j06， fast fm4gjo4。	手槍，打一打，打完， fast 去睡。
bj6ej04fu/ w94cji7rul w94ek31u/4 new vul4au/6ul4fm3gp6ak7？	如果清大和交大合併 new 校名要取什麼？
yp3ak7x su3x gji 2 su,4zj6s 	怎麼ㄌ你 tired ㄌ說 good ㄉ幸福ㄋ？
new ek ao6bp6wu/ eji 	new 歌沒人聽過
w96j0 hji 1j6djo32k7h961j6g4ej/ j6m06，wu6 high ej932u4xul6ej/ 。c8 c8 ck 	台灣最不缺的才不是公務員，是 high 拐的勞工。哈哈哈
tk32l4cp3cl3d04，s93y7qu6bp6w.7 large ，	扯到很好看，奶子比人頭 large ，
jo3m/3h94cj/ q.3z; ej0 j;3NEWSs93ao6 new jp42u ej84a84??	有永采烘培坊官網NEWS那沒 new 聞的卦嗎??
